date,post_id,thread_url,format,format_type,content_axis,post_goal,topic,hook,main_text,source_count,source_type,source_url,final_candidate_score,quality_score,post_slot,experiment_group,model,card_used,posted_at,views,likes,replies,chain_replies,own_replies,audience_replies,reposts,quotes,saves,profile_visits,follows_gained,notes
2026-06-23,18104974070163155,https://www.threads.net/@arxiv.ai/post/18104974070163155,workflow_mode,,,,research ai workflow,AI agent skill 모음집을 볼 때,"AI agent skill 모음집을 볼 때
기능 개수부터 세면 금방 길을 잃습니다.

연구 작업에서는 먼저 봐야 할 것이 하나 있습니다.

""이 skill이 논문 일을 어떤 검증 가능한 단위로 쪼개는가?""",1,,https://github.com/alirezarezvani/claude-skills,,,,,,false,2026-06-23T02:53:11+09:00,1514,0,3,3,0,0,1,0,,,0,auto-recorded after publish | metrics collected: 24h | metrics collected: 72h
2026-06-23,17956515714149746,https://www.threads.net/@arxiv.ai/post/17956515714149746,workflow_mode,agent_role_split,workflow_mode,save,Literature review,AI에게 논문 작업을 맡길 때,"AI에게 논문 작업을 맡길 때
가장 먼저 정할 것은 모델이 아니라 작업 경계입니다.

오늘 문제는 이것입니다.
논문은 많지만 비교 기준이 없어 연구 흐름으로 정리하기 어렵다.",4,github_repo,https://github.com/K-Dense-AI/scientific-agent-skills,66,100,morning,morning_extra_two_post_day,llama-3.1-8b-instant,false,2026-06-23T11:48:13+09:00,6220,0,4,3,0,1,8,0,,,0,auto-recorded after publish | metrics collected: 24h | metrics collected: 72h
2026-06-23,18063246650532314,https://www.threads.net/@arxiv.ai/post/18063246650532314,workflow_mode,agent_role_split,workflow_mode,save,citation_verification,논문 검증 workflow 구축하는 방법은 없나요? 요즘 AI가 붙인 citation을 믿고 넘어가는 오류가 발생하는 것 같습니다.,논문 검증 workflow 구축하는 방법은 없나요? 요즘 AI가 붙인 citation을 믿고 넘어가는 오류가 발생하는 것 같습니다.,1,github_repo,https://github.com/LearningCircuit/local-deep-research,62,100,evening,evening_primary,llama-3.1-8b-instant,false,2026-06-23T23:22:32+09:00,831,0,0,0,0,0,0,0,,,0,"auto-recorded after publish | metrics collected: 24h | metrics skipped: 72h: 400 Client Error for url: https://graph.threads.net/v1.0/18063246650532314/insights?metric=views%2Clikes%2Creplies%2Creposts%2Cquotes&access_token=<redacted> Response body: {""error"
2026-06-25,18088533161637064,https://www.threads.net/@arxiv.ai/post/18088533161637064,tiny_source_case,tiny_source_case,official_update,share,citation_verification,논문 검증 workflow 구축하는 방법은 없나요? 요즘 AI가 붙인 citation을 믿고 넘어가는 오류가 발생하는 것 같습니다.,"논문 검증 workflow 구축하는 방법은 없나요? 요즘 AI가 붙인 citation을 믿고 넘어가는 오류가 발생하는 것 같습니다.

원문을 따라쓸 수 있는 workflow로 구축하는 것이 필요해보입니다.

아래 원문을 읽을 때, 다음과 같은 workflow로 정리할 수 있습니다.

1. 논문 목록을 바로 문단으로 쓰지 말고 evidence matrix로 먼저 비교한다.",1,official_feed,https://arxiv.org/abs/2606.25057,52,90,evening,evening_primary,llama-3.1-8b-instant,false,2026-06-25T23:00:33+09:00,196,0,0,0,0,0,0,0,,,0,auto-recorded after publish | metrics collected: 24h | metrics collected: 72h
2026-06-27,17895262446477138,https://www.threads.net/@arxiv.ai/post/17895262446477138,research_checklist,research_checklist,checklist,save,AI citation 검증,"AI가 자동으로 붙인 citation, 실제로 claim을 뒷받침하나요? 검증 없이 넘어가면 연구 신뢰도가 떨어집니다.---✅ 검증 체크리스트","AI가 자동으로 붙인 citation, 실제로 claim을 뒷받침하나요? 검증 없이 넘어가면 연구 신뢰도가 떨어집니다.---✅ 검증 체크리스트
1. **Citation 존재 여부**: 논문 본문에 해당 citation이 실제로 인용됐는가?
2. **주장-근거 매핑**: 해당 citation이 지원하는 claim이 명확히 제시됐는가?
3. **Evidence 확인**: 원문에서 claim을 뒷받침하는 데이터·결과가 제시돼 있는가?
4. **Limitation 체크**: 인용된 연구의 한계가 claim과 어울리는가?
5. **출처 위치**: 논문 섹션(예: Results, Discussion)에서 인용 위치를 기록한다.
6. **지원 강도**: 직접적인 실험 결과 vs. 간접적 논의 등 강도를 평가한다.
*이 체크리스트를 복사해 매 논문 검증 시 바로 사용하세요.*",1,github_repo,https://github.com/Leey21/awesome-ai-research-writing,50,92,evening,manual_evening,openai/gpt-oss-120b,false,2026-06-27T23:15:55+09:00,0,0,0,0,0,0,0,0,,,0,"auto-recorded after publish | metrics skipped: 24h: 400 Client Error for url: https://graph.threads.net/v1.0/17895262446477138/insights?metric=views%2Clikes%2Creplies%2Creposts%2Cquotes&access_token=<redacted> Response body: {""error | metrics skipped: 72h: 400 Client Error for url: https://graph.threads.net/v1.0/17895262446477138/insights?metric=views%2Clikes%2Creplies%2Creposts%2Cquotes&access_token=<redacted> Response body: {""error"
2026-06-27,18168433057442701,https://www.threads.net/@arxiv.ai/post/18168433057442701,tiny_source_case,tiny_source_case,official_update,share,agent_role_confusion,AI에게 논문 작업을 맡길 때,"AI에게 논문 작업을 맡길 때
가장 먼저 정할 것은 모델이 아니라 작업 경계입니다.

오늘 문제는 이것입니다.
하나의 AI agent에게 읽기, 비교, 비판, 작성을 다 맡겨 결과가 흐려진다.",1,official_feed,https://github.blog/ai-and-ml/llms/accelerating-researchers-and-developers-building-multilingual-ai-with-a-new-open-dataset/,40,92,evening,manual_evening,openrouter/free,false,2026-06-27T23:34:00+09:00,3629,0,3,3,0,0,3,2,,,0,auto-recorded after publish | metrics collected: 24h | metrics collected: 72h
2026-06-28,18104256953020400,https://www.threads.net/@arxiv.ai/post/18104256953020400,workflow_observation,workflow_observation,opinion,comment,citation_doubt,논문 작업을 AI에게 한 번에 맡기면 자주 생기는 문제가 있습니다.,"논문 작업을 AI에게 한 번에 맡기면 자주 생기는 문제가 있습니다.

""이 논문 정리해줘""라고만 시키면
AI가 붙인 citation이 claim을 실제로 받치는지 검증하기 어렵다.",1,github_repo,https://github.com/academic/awesome-datascience,41,92,evening,daily_1800_kst,openrouter/free,false,2026-06-28T20:13:00+09:00,5921,16,3,3,0,0,6,0,,,0,auto-recorded after publish | metrics collected: 24h | metrics collected: 72h
2026-06-28,18115217950872584,https://www.threads.net/@arxiv.ai/post/18115217950872584,manual,workflow_observation,workflow_mode,save,AI 초안 diff 학습,만약 AI가 쓴 논문 초안을,"만약 AI가 쓴 논문 초안을
문장만 예쁘게 다듬고 끝내고 있나요?

그렇다면 잘못 푼 답안지에 빨간펜만 예쁘게 긋고 있는 겁니다.

내가 왜 고쳤는지 설명하지 못하면,
그건 편집이 아니라 다음 초안을 또 맡기는 대리 작성입니다.",1,official_docs,https://platform.openai.com/docs/guides/evals,,,evening,human_taste_loop,manual,false,2026-06-28T13:28:11+09:00,11349,2,3,3,0,0,15,1,,,0,auto-recorded after publish | metrics collected: 24h | metrics collected: 72h
2026-06-29,18366569587230193,https://www.threads.net/@arxiv.ai/post/18366569587230193,manual_codex_curation,tiny_source_case,official_update,save,AI agent memory,"AI agent에게 오래된 대화까지 전부 넣으면 더 똑똑해질 것 같지만,","AI agent에게 오래된 대화까지 전부 넣으면 더 똑똑해질 것 같지만,
논문 작업에서는 반대로 위험할 때가 있습니다.

예전 가정, 바뀐 실험 설정, 수정 전 claim이 섞이면
agent는 ""기억을 많이 한 것""처럼 보이면서도
지금 써야 할 사실을 놓칠 수 있습니다.",1,official_feed,https://arxiv.org/abs/2606.27472,46,manual_pass,evening,manual_evening,codex-manual,false,2026-06-29T17:07:46+09:00,1031,0,3,3,0,0,0,0,,,0,auto-recorded after publish | metrics collected: 24h | metrics collected: 72h
2026-06-29,17889401166569630,https://www.threads.net/@arxiv.ai/post/17889401166569630,tiny_source_case,tiny_source_case,official_update,share,evidence_missing,논문 작업을 AI에게 한 번에 맡기면 자주 생기는 문제가 있습니다.,"논문 작업을 AI에게 한 번에 맡기면 자주 생기는 문제가 있습니다.

""이 논문 정리해줘""라고만 시키면
주장은 있지만 evidence가 표, 그림, 실험, 데이터와 연결되지 않는다.",1,official_feed,https://arxiv.org/abs/2606.27598,51,100,evening,daily_1800_kst,openrouter/free,false,2026-06-29T22:12:03+09:00,4033,0,3,3,0,0,2,0,,,0,auto-recorded after publish | metrics collected: 24h | metrics collected: 72h
